Manufacturer,MPN,Value,Footprint,Height (mm),Voltage,Tolerance (%),Dielectric,Datasheet
Kemet,C0603C391G5GACTU,390p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C751G5GACTU,750p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C151J2GACTU,150p,0603,0.8,200V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471J4GACTU,470p,0603,0.8,16V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C511K5GACTU,510p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C361JAGACTU,360p,0603,0.8,250V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C151J4GACTU,150p,0603,0.8,16V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C331F3GACTU,330p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C391K1GACTU,390p,0603,0.8,100V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C131F5GACTU,130p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C621K5GACTU,620p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C511J1GACTU,510p,0603,0.8,100V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C121F1GACTU,120p,0603,0.8,100V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471F3GACTU,470p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C111K5GACTU,110p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471J8GACTU,470p,0603,0.8,10V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C241K2GACTU,240p,0603,0.8,200V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C511F4GACTU,510p,0603,0.8,16V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C271J2GACTU,270p,0603,0.8,200V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C101F4GAC,100p,0603,0.8,16V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C561G5GACTU,560p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C271J5GAC7411,270p,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C821J2GACTU,820p,0603,0.8,200V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C471GAGACTU,470p,0603,0.8,250V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C271G2GACTU,270p,0603,0.8,200V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C361F3GACTU,360p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C301JAGACTU,300p,0603,0.8,250V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C111G5GACTU,110p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C181G5GACTU,180p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C431G5GACTU,430p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C621JAGACTU,620p,0603,0.8,250V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kyocera AVX,06033D105KAT2A,1u,0603,0.95,25V,10%,X5R,https://www.mouser.co.uk/datasheet/2/40/cx5r_KGM-3223198.pdf
